label,bb,dm,gg,gt,jm,jz,ks,mc,tf,tm
bb,1,3,1,5,1,2,1,0,1,4
dm,0,5,1,4,0,5,1,1,3,1
gg,0,2,0,6,1,3,3,0,2,4
gt,1,2,1,9,0,2,1,0,1,4
jm,3,4,0,6,0,4,1,0,0,3
jz,1,5,0,2,0,5,4,0,1,3
ks,2,1,0,3,1,6,2,0,1,5
mc,1,2,0,5,0,2,3,0,3,2
tf,1,0,0,10,1,2,1,0,2,4
tm,3,0,0,10,1,2,1,0,0,4
