label,bb,dm,gg,gt,jm,jz,ks,mc,tf,tm
bb,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.333333
dm,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.0
gg,0.0,0.0,0.0,0.25,0.0,0.5,0.25,0.0,0.0,0.0
gt,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.25
jm,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25
jz,0.0,0.0,0.0,0.25,0.0,0.25,0.5,0.0,0.0,0.0
ks,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.25
mc,0.0,0.0,0.0,0.666667,0.0,0.0,0.333333,0.0,0.0,0.0
tf,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0
tm,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0
