label,bb,dm,gg,gt,jm,jz,ks,mc,tf,tm
bb,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25
dm,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0
gg,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.6
gt,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6
jm,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4
jz,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4
ks,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.6
mc,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5
tf,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6
tm,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.6
