label,bb,dm,gg,gt,jm,jz,ks,mc,tf,tm
bb,0,1,0,2,0,0,0,0,0,1
dm,0,1,0,1,0,1,0,1,0,0
gg,0,0,0,2,0,0,2,0,0,0
gt,0,0,0,3,0,1,0,0,0,0
jm,1,0,0,2,0,1,0,0,0,0
jz,0,0,0,0,0,1,2,0,0,1
ks,0,0,0,0,0,1,2,0,0,1
mc,0,1,0,2,0,0,1,0,0,0
tf,0,0,0,3,0,0,0,0,0,1
tm,0,0,0,4,0,0,0,0,0,0
