label,bb,dm,gg,gt,jm,jz,ks,mc,tf,tm
bb,0,0,0,0,0,1,0,0,2,1
dm,0,1,0,0,0,2,0,0,0,1
gg,0,1,2,1,0,0,0,0,0,0
gt,0,1,0,2,0,0,0,0,0,1
jm,1,1,0,2,0,0,0,0,0,0
jz,1,1,0,0,0,1,0,0,1,0
ks,0,1,0,0,0,1,1,0,0,1
mc,0,0,0,0,0,0,1,0,0,2
tf,0,0,0,0,0,0,0,0,4,0
tm,0,0,0,0,0,1,0,0,0,3
