label,bb,dm,gg,gt,jm,jz,ks,mc,tf,tm
bb,3,3,0,2,1,2,2,0,3,3
dm,2,9,0,4,0,2,1,0,0,3
gg,0,2,6,2,5,1,0,0,3,2
gt,0,4,0,12,0,0,1,0,0,4
jm,1,2,2,4,3,1,4,0,0,4
jz,1,4,0,5,0,5,5,0,1,0
ks,1,1,0,0,0,3,6,4,2,4
mc,0,1,1,0,0,1,7,3,1,4
tf,1,0,2,0,0,1,3,1,11,2
tm,1,2,0,1,1,1,2,1,0,12
