label,bb,dm,gg,gt,jm,jz,ks,mc,tf,tm
bb,0,1,1,0,0,2,0,0,0,0
dm,0,0,0,1,0,2,0,0,0,1
gg,0,2,0,1,0,0,0,0,0,1
gt,0,1,0,1,0,0,1,0,1,0
jm,0,2,0,2,0,0,0,0,0,0
jz,0,3,0,1,0,0,0,0,0,0
ks,1,0,0,0,0,2,0,0,1,0
mc,1,1,0,0,0,1,0,0,1,0
tf,0,0,0,2,0,2,0,0,0,0
tm,2,0,0,1,0,0,0,0,0,1
